assignment_id,course_id,assignment_type,title,description,max_score,due_date
1,1,другое,Основание сынок а актриса.,Передо руководитель секунда мелькнуть господь. Похороны возбуждение строительство ярко.,79.22,2025-06-15 00:00:00,2025-05-24 17:34:49.230750
2,1,практическая,Провинция отражение написать изучить.,Девка фонарик намерение каюта. Соответствие мелькнуть июнь бок изучить свежий неудобно. Запустить разводить цель еврейский.,72.35,2024-11-10 00:00:00,2025-05-24 17:34:49.230750
3,1,другое,Развитый угроза рота.,Возможно теория пространство выбирать а совет. Факультет сустав скользить шлем дьявол. Хлеб труп возмутиться спешить важный встать. Да терапия наткнуться грудь дыхание инфекция реклама.,58.70,2025-02-07 00:00:00,2025-05-24 17:34:49.230750
4,1,реферат,Лиловый ярко войти.,Сопровождаться отдел настать полностью. Деньги жить задрать перебивать коричневый армейский. Команда конференция спичка разуметься ведь.,86.77,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
5,1,лабораторная,Командующий оборот.,Исследование разводить недостаток мера. Столетие основание дошлый правильный пропасть эпоха находить. Решетка мотоцикл триста очко.,80.81,2025-02-25 00:00:00,2025-05-24 17:34:49.230750
6,1,реферат,Покидать господь нажать.,Непривычный спорт вперед коричневый миллиард сверкающий.,74.44,2024-12-03 00:00:00,2025-05-24 17:34:49.230750
7,1,доклад,Крутой ночь мимо термин.,Прелесть чем запустить армейский невыносимый равнодушный дрогнуть. Расстегнуть рассуждение недостаток пространство. Приходить провинция жить изба оборот академик радость степь.,57.95,2025-04-21 00:00:00,2025-05-24 17:34:49.230750
8,1,другое,Изба низкий дорогой спорт.,Витрина слать ремень металл спорт серьезный кольцо функция. Полевой выдержать цвет развернуться роскошный рассуждение. Возмутиться видимо космос терапия нервно белье.,66.79,2025-04-10 00:00:00,2025-05-24 17:34:49.230750
9,2,доклад,Темнеть интеллектуальный полевой.,Добиться разводить оборот неправда более слать кольцо. Расстегнуть вздрогнуть написать.,78.75,2024-09-22 00:00:00,2025-05-24 17:34:49.230750
10,2,практическая,Житель мягкий мрачно монета юный.,Прощение выраженный редактор редактор носок премьера изба слишком. Похороны изменение дошлый бригада жидкий. Наступать бочок жить степь.,84.40,2024-12-07 00:00:00,2025-05-24 17:34:49.230750
11,2,другое,Угодный настать салон шлем.,Наткнуться даль князь зато дремать единый ночь. Беспомощный команда уточнить промолчать.,89.83,2025-05-28 00:00:00,2025-05-24 17:34:49.230750
12,3,практическая,Прошептать рай.,Космос опасность темнеть факультет правый.,96.29,2025-04-18 00:00:00,2025-05-24 17:34:49.230750
13,3,практическая,Уронить выраженный.,Народ песенка аллея терапия провал. Шлем провинция тюрьма какой расстегнуть рис. Какой космос дьявол изучить.,55.68,2025-04-04 00:00:00,2025-05-24 17:34:49.230750
14,3,доклад,Мягкий зато самостоятельно банк упорно.,Сынок исследование палец дремать забирать. Постоянный чувство коричневый бровь.,61.32,2025-05-01 00:00:00,2025-05-24 17:34:49.230750
15,3,доклад,Неправда разводить инструкция сбросить.,Выражение заработать покидать упор покидать бегать. Полностью разнообразный какой торговля что расстройство мимо.,86.34,2025-05-03 00:00:00,2025-05-24 17:34:49.230750
16,4,лабораторная,Анализ витрина.,Танцевать наслаждение плод пространство устройство столетие налоговый полевой. Актриса секунда гулять кпсс.,94.32,2025-03-16 00:00:00,2025-05-24 17:34:49.230750
17,4,лабораторная,Домашний пламя.,Солнце невозможно сустав тюрьма. Тута ход господь еврейский вывести багровый мимо. Второй находить очутиться изредка. Написать зеленый пропадать интеллектуальный коммунизм.,89.95,2025-06-15 00:00:00,2025-05-24 17:34:49.230750
18,4,лабораторная,Доставать шлем вариант назначить.,Демократия процесс район миф.,74.06,2025-06-29 00:00:00,2025-05-24 17:34:49.230750
19,4,практическая,Мгновение намерение функция увеличиваться прощение.,Зато инструкция налево сверкающий. Похороны куча коллектив оставить. Заявление теория неправда ответить юный.,59.36,2025-05-10 00:00:00,2025-05-24 17:34:49.230750
20,4,лабораторная,Гулять выкинуть ломать возбуждение.,Добиться вывести новый плясать одиннадцать народ наступать. Пастух граница прошептать еврейский умирать.,91.13,2025-05-21 00:00:00,2025-05-24 17:34:49.230750
21,4,доклад,Миг салон посидеть строительство.,Основание возникновение солнце рассуждение армейский настать процесс. Цепочка отметить коричневый дошлый. Юный господь июнь тяжелый демократия демократия расстегнуть. Поговорить боец нож добиться.,90.46,2025-06-04 00:00:00,2025-05-24 17:34:49.230750
22,4,реферат,Мотоцикл ломать задержать.,Опасность находить расстройство посвятить выражение функция возбуждение. Степь выраженный низкий светило печатать ночь. Мелочь деловой сынок художественный развернуться прежде низкий.,57.64,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
23,4,доклад,Правление штаб решетка изучить.,Мгновение снимать привлекать столетие подземный. Единый головка головной. Вчера шлем боец вытаскивать. Указанный анализ настать монета выраженный поезд отражение.,69.97,2025-06-08 00:00:00,2025-05-24 17:34:49.230750
24,5,другое,Прощение триста.,Второй изредка через функция прежний заявление. Ярко единый тусклый спичка жить.,66.28,2025-06-14 00:00:00,2025-05-24 17:34:49.230750
25,5,лабораторная,Запустить домашний хозяйка.,Монета трубка жидкий дрогнуть отражение. Домашний четыре нож помолчать передо нож социалистический.,85.70,2025-04-07 00:00:00,2025-05-24 17:34:49.230750
26,5,лабораторная,Грустный ученый доставать тусклый.,Четко очутиться дальний изменение отметить парень. Ремень забирать посвятить полюбить.,99.20,2025-02-22 00:00:00,2025-05-24 17:34:49.230750
27,6,практическая,Дремать бок бочок коробка.,Материя избегать команда столетие бок пропаганда умолять. Металл применяться спорт слишком мгновение мотоцикл. Госпожа запустить правый трубка.,74.47,2025-05-20 00:00:00,2025-05-24 17:34:49.230750
28,6,доклад,Нервно изменение следовательно жестокий.,Изменение прежний изба тусклый полюбить растеряться сустав посвятить. Адвокат освобождение правый редактор.,96.93,2025-06-21 00:00:00,2025-05-24 17:34:49.230750
29,6,доклад,Мелочь слать слишком пламя.,Расстегнуть угроза пропасть пересечь выкинуть доставать желание. Грудь житель космос висеть расстройство командование господь.,96.09,2025-05-23 00:00:00,2025-05-24 17:34:49.230750
30,6,практическая,Бок разнообразный грустный адвокат.,Тусклый возбуждение направо рабочий прощение госпожа. Налево военный выбирать крутой фонарик результат. Отметить исполнять вперед оставить. Витрина изображать наступать успокоиться крыса.,81.41,2025-06-24 00:00:00,2025-05-24 17:34:49.230750
31,7,реферат,Печатать висеть.,Обида карман полностью. Крыса подробность приятель намерение палец инфекция заплакать. Школьный дальний рабочий домашний песенка.,96.52,2025-06-18 00:00:00,2025-05-24 17:34:49.230750
32,7,лабораторная,Степь миг передо.,Лиловый космос поколение проход хотеть сопровождаться мелочь устройство. Ягода засунуть сомнительный жить другой бабочка.,97.49,2025-04-02 00:00:00,2025-05-24 17:34:49.230750
33,7,лабораторная,Ныне приличный прелесть встать.,Госпожа роса через коммунизм плясать чем развернуться еврейский. Еврейский плавно опасность снимать мимо неожиданно аж. Кидать задержать механический коллектив возможно выражение поставить порядок.,95.85,2025-06-04 00:00:00,2025-05-24 17:34:49.230750
34,8,реферат,Медицина помимо развернуться.,Растеряться бригада лапа присесть заложить. Валюта непривычный запеть точно точно монета уточнить князь.,63.05,2025-06-15 00:00:00,2025-05-24 17:34:49.230750
35,8,другое,Поговорить предоставить ставить выдержать.,Исследование упор ботинок тесно. Рот роскошный строительство.,88.62,2025-01-24 00:00:00,2025-05-24 17:34:49.230750
36,8,лабораторная,Прежде направо дружно.,Мимо каюта решение кидать сомнительный. Единый цепочка прелесть.,55.98,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
37,8,доклад,Костер издали роса.,Термин господь металл металл мальчишка анализ решение пища. Дальний постоянный ярко грудь порог передо. Командование выдержать наступать оставить полностью пространство следовательно.,94.87,2025-05-19 00:00:00,2025-05-24 17:34:49.230750
38,8,лабораторная,Социалистический табак тюрьма подземный.,Социалистический чем ягода лапа необычный бок июнь торговля. Плод да июнь вряд заведение. Выкинуть аллея эффект спасть.,55.93,2025-06-16 00:00:00,2025-05-24 17:34:49.230750
39,8,доклад,Природа четыре мелькнуть пробовать.,Очутиться пропадать июнь песенка. Тусклый подземный назначить.,85.48,2025-01-12 00:00:00,2025-05-24 17:34:49.230750
40,8,лабораторная,Счастье монета.,Рассуждение хлеб каюта порядок. Конструкция ложиться полностью скользить. Секунда близко хотеть правый витрина процесс инструкция.,99.19,2025-05-07 00:00:00,2025-05-24 17:34:49.230750
41,8,практическая,Неудобно чем тревога багровый.,Правление результат пробовать. Соответствие плод командующий еврейский реклама.,99.01,2025-03-29 00:00:00,2025-05-24 17:34:49.230750
42,9,лабораторная,Стакан уничтожение дружно полевой.,Потом дорогой пробовать еврейский. Светило задрать банк сынок поговорить. Угроза левый написать естественный спасть тюрьма вчера.,99.60,2025-06-28 00:00:00,2025-05-24 17:34:49.230750
43,9,лабораторная,Сверкать забирать жить.,Райком поймать костер господь забирать прошептать. Способ отдел важный инструкция решение. Что новый народ нервно неудобно сынок ложиться.,61.35,2025-03-22 00:00:00,2025-05-24 17:34:49.230750
44,9,доклад,Слишком дьявол мелочь вскинуть.,Реклама житель инфекция правление посидеть пространство зарплата жить. Покидать актриса помимо славный господь валюта. Оставить аллея поезд один около дальний. Призыв коммунизм мучительно аллея даль.,78.24,2025-04-01 00:00:00,2025-05-24 17:34:49.230750
45,9,практическая,Какой монета серьезный слишком.,Парень остановить сустав полюбить. Порядок степь успокоиться основание умирать. Команда заведение мера решетка протягивать дошлый.,79.14,2024-11-30 00:00:00,2025-05-24 17:34:49.230750
46,9,другое,Школьный сынок цель армейский инфекция.,Освобождение июнь заведение намерение доставать. Наслаждение за решетка мелькнуть. Второй господь печатать житель уничтожение.,64.32,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
47,9,другое,Смелый ребятишки.,Ярко кожа беспомощный зеленый отдел сверкать. Очутиться академик спалить скользить цепочка помолчать сохранять. Фонарик вскинуть правильный монета горький посвятить.,96.71,2025-04-30 00:00:00,2025-05-24 17:34:49.230750
48,9,практическая,Рабочий помолчать.,Неправда школьный приличный ныне пропасть серьезный конструкция сравнение. Инфекция плясать темнеть карман неожиданно висеть. Художественный ручей актриса изменение. Успокоиться слать спорт бегать.,99.07,2025-04-26 00:00:00,2025-05-24 17:34:49.230750
49,10,лабораторная,Растеряться сверкать граница.,Материя уронить наступать даль засунуть. Рота бригада медицина аж задержать куча ложиться.,83.18,2025-03-26 00:00:00,2025-05-24 17:34:49.230750
50,10,доклад,Тысяча иной.,Смелый запеть пасть невыносимый монета запретить зима. Да мальчишка угодный адвокат видимо ярко. Невозможно предоставить прощение прелесть угодный даль советовать.,80.25,2025-04-11 00:00:00,2025-05-24 17:34:49.230750
51,10,другое,Функция рабочий отметить.,Космос командир изучить беспомощный слишком художественный. Плясать перебивать набор приходить тесно войти.,55.06,2024-11-24 00:00:00,2025-05-24 17:34:49.230750
52,10,лабораторная,Мелочь единый коммунизм славный дружно.,Возмутиться волк проход подземный банда анализ. Непривычный правый способ болото соответствие цвет. Приходить господь призыв строительство отражение основание.,60.69,2024-11-15 00:00:00,2025-05-24 17:34:49.230750
53,11,практическая,Радость видимо вывести хозяйка увеличиваться.,Строительство кпсс выкинуть спорт.,79.50,2025-05-29 00:00:00,2025-05-24 17:34:49.230750
54,11,практическая,Художественный приличный рис ручей.,Мрачно пища жить. Анализ металл падаль вытаскивать близко около.,58.67,2025-03-23 00:00:00,2025-05-24 17:34:49.230750
55,11,доклад,Полоска спорт сынок.,Рот темнеть горький банда носок. Художественный термин ложиться настать грустный второй. Нервно выраженный эффект инструкция снимать теория приходить выражаться. Бак бочок кожа прощение каюта вчера.,74.03,2025-03-16 00:00:00,2025-05-24 17:34:49.230750
56,11,доклад,Головной космос еврейский сбросить.,Коммунизм хлеб обида печатать.,98.81,2025-01-23 00:00:00,2025-05-24 17:34:49.230750
57,11,другое,Через беспомощный решение голубчик.,Предоставить жить помимо. Бетонный жестокий космос вздрогнуть банк.,63.74,2025-04-28 00:00:00,2025-05-24 17:34:49.230750
58,11,реферат,Сохранять ломать.,Висеть ботинок перебивать дыхание перебивать остановить кидать. Порог зачем куча неожиданно.,98.65,2025-04-24 00:00:00,2025-05-24 17:34:49.230750
59,11,реферат,Нервно поговорить.,Белье направо сходить ремень. Вытаскивать через белье важный еврейский. Мимо растеряться плод что очередной оборот.,90.15,2025-06-06 00:00:00,2025-05-24 17:34:49.230750
60,11,лабораторная,Тысяча очередной блин.,Ярко коммунизм сынок висеть успокоиться. Висеть возбуждение чувство порог лапа рис блин космос. Сомнительный избегать головной.,73.11,2025-05-21 00:00:00,2025-05-24 17:34:49.230750
61,12,реферат,Коммунизм ягода мусор более.,Медицина приятель вытаскивать ремень цепочка монета указанный. Набор факультет каюта человечек. Темнеть термин построить цепочка.,67.00,2024-12-22 00:00:00,2025-05-24 17:34:49.230750
62,12,доклад,Термин сбросить провинция.,Лиловый палец запустить второй собеседник скользить. Район опасность ответить невыносимый функция иной одиннадцать. Заведение реклама головка приходить пространство крыса.,91.76,2024-10-24 00:00:00,2025-05-24 17:34:49.230750
63,12,практическая,Указанный подробность набор важный.,Пропаганда что июнь беспомощный ставить возбуждение. Отметить бровь сходить природа жидкий. Легко полностью сопровождаться ответить табак песенка.,93.41,2024-12-23 00:00:00,2025-05-24 17:34:49.230750
64,12,практическая,Оставить интеллектуальный командование деньги а.,Развитый выраженный казнь мгновение заложить встать. Функция бак выгнать приятель. Потянуться пространство устройство дрогнуть да.,74.91,2025-01-28 00:00:00,2025-05-24 17:34:49.230750
65,12,лабораторная,Пол бетонный народ армейский степь.,Решетка мгновение войти умирать актриса вообще июнь факультет. Рай ломать рабочий. Пространство совещание намерение через.,96.80,2025-02-26 00:00:00,2025-05-24 17:34:49.230750
66,12,практическая,Прошептать слишком пропаганда эпоха.,Число мотоцикл командование мотоцикл решение. Беспомощный рис юный дорогой зачем материя самостоятельно. Ученый сверкающий бегать премьера дурацкий.,86.73,2025-01-27 00:00:00,2025-05-24 17:34:49.230750
67,12,практическая,Костер лапа правление монета.,Голубчик поставить одиннадцать горький дыхание. Задержать некоторый применяться рис цвет.,61.70,2025-02-20 00:00:00,2025-05-24 17:34:49.230750
68,12,другое,Грустный за.,Разводить штаб военный сынок труп степь. Человечек тысяча тута неправда болото.,80.22,2025-01-17 00:00:00,2025-05-24 17:34:49.230750
69,13,доклад,Новый наступать ягода.,Устройство природа разуметься жидкий дьявол карандаш пропадать. Да монета сомнительный собеседник передо увеличиваться витрина. Покидать покинуть развитый.,82.65,2025-04-20 00:00:00,2025-05-24 17:34:49.230750
70,13,доклад,Следовательно медицина рабочий.,Протягивать иной манера бочок ломать легко интеллектуальный. Степь способ палец задержать райком еврейский. Покинуть пастух интернет каюта способ.,91.35,2025-06-04 00:00:00,2025-05-24 17:34:49.230750
71,13,реферат,Мелькнуть недостаток.,Боец каюта цвет дыхание. Некоторый кузнец оборот жестокий крутой передо.,62.16,2025-01-16 00:00:00,2025-05-24 17:34:49.230750
72,13,практическая,Неожиданный монета задержать появление.,Неправда спасть оборот потянуться монета поколение премьера. Палка свежий карандаш ленинград совет отметить спалить. Упор конструкция совет виднеться.,90.46,2025-06-20 00:00:00,2025-05-24 17:34:49.230750
73,13,реферат,Наткнуться девка.,Ботинок командующий опасность. Поздравлять грудь триста столетие реклама.,52.01,2025-05-07 00:00:00,2025-05-24 17:34:49.230750
74,14,реферат,Головка бабочка.,Намерение монета равнодушный даль радость бровь. Аж тяжелый тревога собеседник задержать. Написать находить дремать похороны покидать.,63.39,2025-06-07 00:00:00,2025-05-24 17:34:49.230750
75,14,практическая,Грудь парень следовательно.,Сутки провинция райком находить народ. Какой тесно видимо сопровождаться монета.,83.10,2025-01-04 00:00:00,2025-05-24 17:34:49.230750
76,14,другое,Низкий монета написать покидать ход.,Запретить выраженный сутки тяжелый правильный освобождение порода коммунизм. Способ развитый слишком снимать самостоятельно банк.,66.81,2025-04-08 00:00:00,2025-05-24 17:34:49.230750
77,14,реферат,Коробка зарплата.,Тусклый близко пространство сустав табак добиться карман. Плод художественный советовать хлеб угроза сверкать возбуждение. Мотоцикл разводить мягкий сынок. Эффект легко горький хозяйка построить точно палка интеллектуальный.,72.99,2025-02-08 00:00:00,2025-05-24 17:34:49.230750
78,14,практическая,Прежний полюбить войти.,Порода триста исследование. Термин призыв виднеться другой привлекать бетонный. Кузнец головной банда термин присесть горький протягивать. Понятный свежий скользить крыса рабочий нажать.,81.16,2025-02-23 00:00:00,2025-05-24 17:34:49.230750
79,14,реферат,Уточнить снимать оставить теория.,Появление военный тусклый покинуть демократия поколение. Сутки поколение о угол дыхание пол пропаганда. Сынок избегать грудь посвятить процесс.,75.79,2025-05-23 00:00:00,2025-05-24 17:34:49.230750
80,14,реферат,Очутиться второй налоговый.,Радость торговля горький лиловый. Второй славный протягивать ягода цель конструкция сравнение.,81.96,2025-06-06 00:00:00,2025-05-24 17:34:49.230750
81,14,другое,Передо пространство жестокий близко.,Банда нож девка. Голубчик мелочь слать падаль.,98.37,2025-02-19 00:00:00,2025-05-24 17:34:49.230750
82,15,другое,Пространство необычный.,Посидеть тревога разводить заплакать ложиться вздрогнуть. Бровь дьявол бригада сынок отражение пасть.,53.23,2025-04-26 00:00:00,2025-05-24 17:34:49.230750
83,15,лабораторная,Дальний расстегнуть жестокий триста.,Граница изредка потрясти магазин белье возможно выкинуть. Ответить ленинград крыса ответить покидать опасность тусклый.,80.13,2025-05-24 00:00:00,2025-05-24 17:34:49.230750
84,15,доклад,Господь трясти пастух.,Неправда спасть спалить самостоятельно. Прощение дрогнуть спорт песенка.,53.19,2025-04-03 00:00:00,2025-05-24 17:34:49.230750
85,15,реферат,Народ поздравлять расстройство понятный.,Дружно увеличиваться руководитель протягивать интернет палка миллиард. Голубчик экзамен чувство низкий сынок. Редактор порядок смертельный школьный растеряться жить носок премьера.,98.61,2025-06-28 00:00:00,2025-05-24 17:34:49.230750
86,15,другое,Исполнять о прелесть карандаш нервно.,Аллея премьера монета госпожа девка шлем. Поздравлять головка прошептать рабочий банда монета.,82.72,2025-06-02 00:00:00,2025-05-24 17:34:49.230750
87,15,практическая,Костер издали заявление неправда.,Вряд труп юный идея кузнец развернуться. Спасть выбирать мягкий способ ночь отметить.,80.20,2025-05-31 00:00:00,2025-05-24 17:34:49.230750
